2019-09-17 16:51:05.9355||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000097.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:51:05.9355||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000065.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:51:05.9598||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000062.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:51:05.9806||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000073.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:51:05.9925||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000080.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:51:06.0350||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000074.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:51:06.2124||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000097.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:51:06.4141||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000187.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:51:06.4760||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000228.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:51:06.6601||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000187.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:51:06.7216||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000228.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:54:28.2104||DEBUG|QQQidian.Program|init main |url: |action: 
2019-09-17 16:54:34.3938||INFO|QQQidian.Controllers.HomeController|Enter getCustomerInfos |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:54:35.5605||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000004.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:54:35.7510||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000004.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:54:36.1708||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000014.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:54:36.3823||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000014.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:54:36.6919||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000019.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:54:36.9130||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000019.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:54:39.5990||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000047.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:54:39.8081||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000047.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:54:40.0784||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000051.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:54:40.3353||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000051.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:54:41.3250||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000062.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:54:41.4259||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000065.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:54:41.5102||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000062.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:54:41.6271||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000065.Retry Count = 1 |url: https://localhost/cus|action: getCustomerInfos
2019-09-17 16:54:42.2526||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000073.Retry Count = 0 |url: https://localhost/cus|action: getCustomerInfos
