2019-09-06 09:37:49.4042||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000014.Retry Count = 1 
2019-09-06 09:37:49.4190||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000004.Retry Count = 1 
2019-09-06 09:37:49.4476||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000047.Retry Count = 0 
2019-09-06 09:37:49.4611||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000051.Retry Count = 0 
2019-09-06 09:37:49.4758||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000019.Retry Count = 1 
2019-09-06 09:37:49.6512||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000062.Retry Count = 0 
2019-09-06 09:37:49.6651||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000047.Retry Count = 1 
2019-09-06 09:37:49.6832||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000065.Retry Count = 0 
2019-09-06 09:37:49.6904||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000051.Retry Count = 1 
2019-09-06 09:37:49.7225||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000073.Retry Count = 0 
2019-09-06 09:37:49.7500||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000074.Retry Count = 0 
2019-09-06 09:37:49.8881||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000062.Retry Count = 1 
2019-09-06 09:37:49.9274||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000073.Retry Count = 1 
2019-09-06 09:37:49.9274||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000065.Retry Count = 1 
2019-09-06 09:37:49.9820||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000074.Retry Count = 1 
2019-09-06 09:37:53.4160||INFO|QQQidian.Controllers.HomeController|End getCustomerInfos 
2019-09-06 09:37:53.4160|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action method QQQidian.Controllers.HomeController.getCustomerInfos (QQQidian), returned result Microsoft.AspNetCore.Mvc.FileContentResult in 4898.643ms. 
2019-09-06 09:37:53.4160|2|INFO|Microsoft.AspNetCore.Mvc.Infrastructure.FileContentResultExecutor|Executing Microsoft.AspNetCore.Mvc.FileContentResult, sending file with download name 'cusInfoJson_20190906093753.csv' ... 
2019-09-06 09:37:53.4510|2|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executed action QQQidian.Controllers.HomeController.getCustomerInfos (QQQidian) in 4934.1831ms 
2019-09-06 09:37:53.4510|1|INFO|Microsoft.AspNetCore.Routing.EndpointMiddleware|Executed endpoint 'QQQidian.Controllers.HomeController.getCustomerInfos (QQQidian)' 
2019-09-06 09:37:53.4510|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 4954.2831ms 200 application/csv 
2019-09-06 09:46:02.8792|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET https://localhost:5001/cus?   
2019-09-06 09:46:02.9079|0|INFO|Microsoft.AspNetCore.Routing.EndpointMiddleware|Executing endpoint 'QQQidian.Controllers.HomeController.getCustomerInfos (QQQidian)' 
2019-09-06 09:46:02.9079|3|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Route matched with {action = "getCustomerInfos", controller = "Home"}. Executing controller action with signature System.Threading.Tasks.Task`1[Microsoft.AspNetCore.Mvc.IActionResult] getCustomerInfos() on controller QQQidian.Controllers.HomeController (QQQidian). 
2019-09-06 09:46:02.9079|1|INFO|Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker|Executing action method QQQidian.Controllers.HomeController.getCustomerInfos (QQQidian) - Validation state: Valid 
2019-09-06 09:46:02.9079||INFO|QQQidian.Controllers.HomeController|Enter getCustomerInfos 
2019-09-06 09:46:04.0166||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000014.Retry Count = 0 
2019-09-06 09:46:08.2253||WARN|QQQidian.Controllers.HomeController|Fail to get the Info of this Customer.CustomerId = 28521750970000000000000000000019.Retry Count = 0 
